Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
5227,"ADXL_Z__fft_coefficient__attr_""real""__coeff_57",0.7198084329270534,0.6390514505922235,0.14278306966944793,0.19446417500470917,0.6390514505922235,0.7198084329270534,0.6782290344791712
5228,"ADXL_Y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.9998935931412524,0.6391477190045325,4.621437039735398e-05,0.19439875665470407,0.6391477190045325,0.9998935931412524,0.7994246113946439
5229,"MMA_Y__fft_coefficient__attr_""imag""__coeff_10",0.9187222802342501,0.6401087208409559,0.03681575127963109,0.19374625593605657,0.6401087208409559,0.9187222802342501,0.7668651404313747
5230,"ADXL_Y__fft_coefficient__attr_""abs""__coeff_5",0.4916038285579496,0.6401087208409559,0.3083847435335156,0.19374625593605657,0.4916038285579496,0.6401087208409559,0.5609633658794001
5231,"ADXL_X__fft_coefficient__attr_""abs""__coeff_7",0.43654892324018346,0.6401962007531014,0.35996707864193367,0.19368690750656845,0.43654892324018346,0.6401962007531014,0.5286558068358114
5232,"GYRO_Z__fft_coefficient__attr_""imag""__coeff_50",0.574178568739486,0.6402426321024484,0.2409530216129027,0.19365541068172976,0.574178568739486,0.6402426321024484,0.6063114695819181
5233,"MMA_Y__fft_coefficient__attr_""angle""__coeff_36",0.675570594019826,0.6403459918704074,0.17032926249484623,0.19358530451940317,0.6403459918704074,0.675570594019826,0.6577225266828755
5234,"MMA_Y__fft_coefficient__attr_""abs""__coeff_8",0.5876561776442328,0.6406608165490256,0.23087669403443647,0.1933718370771617,0.5876561776442328,0.6406608165490256,0.6135864133271152
5235,"MMA_X__fft_coefficient__attr_""real""__coeff_58",0.6600720238758133,0.6408122367263278,0.180408673753236,0.1932692037091184,0.6408122367263278,0.6600720238758133,0.6503708403828803
5236,"MMA_Z__fft_coefficient__attr_""angle""__coeff_82",0.6522920378142792,0.6408640028166835,0.18555792264940704,0.19323412195179185,0.6408640028166835,0.6522920378142792,0.6465527715191626
5237,"GYRO_Z__fft_coefficient__attr_""real""__coeff_60",0.7910273196281351,0.6409926553475993,0.1018085170600247,0.1931469467062738,0.6409926553475993,0.7910273196281351,0.7120693098715408
5238,"GYRO_X__fft_coefficient__attr_""imag""__coeff_91",0.9504859576127763,0.6417835592294495,0.02205429497563782,0.19261141255585143,0.6417835592294495,0.9504859576127763,0.7810289756944612
5239,"MMA_Y__fft_coefficient__attr_""real""__coeff_86",0.3812226089234199,0.6419765014477278,0.41882135084715616,0.19248086831487987,0.3812226089234199,0.6419765014477278,0.49470795096645903
5240,"GYRO_Y__fft_coefficient__attr_""real""__coeff_74",0.10921882861708855,0.6424862023657429,0.9617024856274549,0.19213619453482111,0.10921882861708855,0.6424862023657429,0.26489920804907696
5241,"MMA_Y__fft_coefficient__attr_""angle""__coeff_68",0.7138992179842334,0.6425723403818119,0.1463630937737467,0.1920779726501794,0.6425723403818119,0.7138992179842334,0.6772974909866964
5242,"ADXL_X__fft_coefficient__attr_""angle""__coeff_6",0.6679978945144913,0.6438448677760572,0.17522490638999208,0.1912187618091746,0.6438448677760572,0.6679978945144913,0.6558101982039981
5243,"ADXL_Z__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",0.8854107613194292,0.6438655694489006,0.05285520389179417,0.19120479807629967,0.6438655694489006,0.8854107613194292,0.7550400678329057
5244,"MMA_Y__fft_coefficient__attr_""angle""__coeff_97",0.6906189983486214,0.6441165740896004,0.16076147874578386,0.19103552564917023,0.6441165740896004,0.6906189983486214,0.6669626250529376
5245,"GYRO_Y__fft_coefficient__attr_""imag""__coeff_83",0.9702620387663053,0.6441165740896004,0.013110959938280842,0.19103552564917023,0.6441165740896004,0.9702620387663053,0.7905452930600142
5246,"MMA_Y__fft_coefficient__attr_""imag""__coeff_14",0.7158203438380298,0.6441165740896004,0.14519596298562598,0.19103552564917023,0.6441165740896004,0.7158203438380298,0.6790226414020313
