Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
3737,GYRO_X__count_above__t_0,1.2153817591323932e-11,1.5599345322258923e-47,10.9152872859808,46.80689362785686,1.5599345322258923e-47,1.2153817591323932e-11,1.3769226470314417e-29
3738,"MMA_Z__fft_coefficient__attr_""imag""__coeff_30",1.2739413965826596e-11,1.2744672582854973e-17,10.894850549807702,16.894671317298354,1.2744672582854973e-17,1.2739413965826596e-11,1.2742043003063126e-14
3739,"MMA_Z__fft_coefficient__attr_""imag""__coeff_45",1.4983506320350612e-11,1.650400732296231e-17,10.824386544621047,16.782410592334866,1.650400732296231e-17,1.4983506320350612e-11,1.5725390234735625e-14
3740,"MMA_Y__fft_coefficient__attr_""angle""__coeff_58",7.696620018680202e-12,1.5936216101467285e-11,11.113699953984103,10.797614789673487,7.696620018680202e-12,1.5936216101467285e-11,1.1074971777325976e-11
3741,"ADXL_X__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",1.6326106911819996e-11,5.791670994807318e-22,10.787117363841656,21.237196116907256,5.791670994807318e-22,1.6326106911819996e-11,9.723962148183792e-17
3742,GYRO_Y__friedrich_coefficients__coeff_1__m_3__r_30,8.089576315411042e-15,1.8102624140969707e-11,14.092074223591373,10.742258465609405,8.089576315411042e-15,1.8102624140969707e-11,3.8267814086720017e-13
3743,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_23",1.4995116382511432e-11,1.9612412246449223e-11,10.82405015917512,10.707468986602873,1.4995116382511432e-11,1.9612412246449223e-11,1.7149064236199553e-11
3744,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_63",2.0825402536413262e-11,3.5936059296545863e-16,10.681406595315966,15.4444695488074,3.5936059296545863e-16,2.0825402536413262e-11,8.650912671059531e-14
3745,"MMA_Z__fft_coefficient__attr_""angle""__coeff_24",6.367121748533263e-12,2.225583553418973e-11,11.196056845721104,10.652556096682446,6.367121748533263e-12,2.225583553418973e-11,1.190401673644316e-11
3746,"GYRO_X__fft_coefficient__attr_""real""__coeff_5",1.0293171452238414e-12,2.322889622552963e-11,11.987450793167922,10.633971426211414,1.0293171452238414e-12,2.322889622552963e-11,4.889775163498116e-12
3747,"MMA_Z__fft_coefficient__attr_""angle""__coeff_23",1.9360864634862884e-11,2.3894252688582468e-11,10.71307525148192,10.621706547829948,1.9360864634862884e-11,2.3894252688582468e-11,2.1508449313115387e-11
3748,"ADXL_X__linear_trend__attr_""intercept""",2.633918947843974e-16,2.7959094538895067e-11,15.57939759347663,10.553476897415946,2.633918947843974e-16,2.7959094538895067e-11,8.581491063361698e-14
3749,"ADXL_X__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",2.713115965870892e-16,2.9833145194734674e-11,15.566531642927874,10.525300958213121,2.713115965870892e-16,2.9833145194734674e-11,8.99670953960275e-14
3750,"MMA_Z__fft_coefficient__attr_""imag""__coeff_63",3.093348869610556e-11,9.897574103357435e-16,10.50957109726076,15.00447123799114,9.897574103357435e-16,3.093348869610556e-11,1.7497614027205949e-13
3751,"ADXL_X__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",2.818969741452979e-16,3.1933587854980495e-11,15.549909585778106,10.495752284151356,2.818969741452979e-16,3.1933587854980495e-11,9.48787741801191e-14
3752,"MMA_Y__fft_coefficient__attr_""imag""__coeff_74",3.2393933783317124e-11,3.4658068152303912e-18,10.489536309888813,17.46019564860931,3.4658068152303912e-18,3.2393933783317124e-11,1.0595806551572302e-14
3753,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_43",3.5620481896954734e-11,3.3071677799284177e-17,10.448300209415937,16.480543771808787,3.3071677799284177e-17,3.5620481896954734e-11,3.432242853224873e-14
3754,"MMA_Y__fft_coefficient__attr_""imag""__coeff_76",3.748388992485252e-11,2.8982222953154205e-15,10.426155346139721,14.53786830695099,2.8982222953154205e-15,3.748388992485252e-11,3.296007364909196e-13
3755,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_36",1.4035228231121974e-12,4.444535396637804e-11,11.852780520777246,10.352173630694269,1.4035228231121974e-12,4.444535396637804e-11,7.898105385034553e-12
3756,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_74",5.0062866186666566e-11,2.898412046053928e-17,10.30048428989719,16.53783987400392,2.898412046053928e-17,5.0062866186666566e-11,3.809236333117443e-14
3757,"ADXL_X__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",3.914944202770305e-16,5.337835134721877e-11,15.407274423287173,10.272634844034135,3.914944202770305e-16,5.337835134721877e-11,1.4455907690637438e-13
3758,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_47",5.622139441475798e-11,3.906482189360361e-13,10.250098387132619,12.408214151408199,3.906482189360361e-13,5.622139441475798e-11,4.68644722516168e-12
3759,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_26",1.812887792730484e-11,5.826101079738247e-11,10.74162907538934,10.234621984865965,1.812887792730484e-11,5.826101079738247e-11,3.2499334649606843e-11
3760,"MMA_Z__fft_coefficient__attr_""imag""__coeff_43",6.028658390578333e-11,5.4092911644263714e-17,10.219779324409659,16.26685964127925,5.4092911644263714e-17,6.028658390578333e-11,5.710583907579004e-14
3761,"MMA_Z__fft_coefficient__attr_""imag""__coeff_47",6.131215210218374e-11,1.5547856921677964e-13,10.212453439545587,12.808329464594133,1.5547856921677964e-13,6.131215210218374e-11,3.0875112444247222e-12
3762,"MMA_Z__fft_coefficient__attr_""angle""__coeff_35",3.3628171595681926e-11,6.265044079861845e-11,10.473296745159132,10.203075869031617,3.3628171595681926e-11,6.265044079861845e-11,4.5900106467426117e-11
3763,"MMA_Y__fft_coefficient__attr_""angle""__coeff_57",3.463186281531502e-11,6.383665137254234e-11,10.460524147530707,10.194929902493314,3.463186281531502e-11,6.383665137254234e-11,4.7018955251291764e-11
3764,"GYRO_Y__fft_coefficient__attr_""imag""__coeff_1",6.766085892714188e-11,2.4191812537837747e-15,10.169662493320867,14.616331591510322,2.4191812537837747e-15,6.766085892714188e-11,4.0457864690496233e-13
3765,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_39",4.4663768385278364e-11,8.711568937387494e-11,10.35004463729036,10.059903622318577,4.4663768385278364e-11,8.711568937387494e-11,6.23771991429449e-11
3766,"ADXL_Z__fft_coefficient__attr_""imag""__coeff_72",1.0817331584312423e-11,8.771291969268085e-11,10.965879857633574,10.056936432426596,1.0817331584312423e-11,8.771291969268085e-11,3.080291766284317e-11
3767,"GYRO_X__fft_coefficient__attr_""real""__coeff_4",9.230734644419384e-11,9.710788061444457e-13,10.034763733500522,12.012745524278506,9.710788061444457e-13,9.230734644419384e-11,9.467719249290692e-12
3768,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_76",1.000118302929444e-10,5.48751199976979e-15,9.999948624729413,14.260624517059052,5.48751199976979e-15,1.000118302929444e-10,7.408212462203498e-13
3769,ADXL_X__c3__lag_2,1.0179700405741722e-10,1.1069295113583358e-23,9.992265003339908,22.95588003386635,1.1069295113583358e-23,1.0179700405741722e-10,3.356815573709991e-17
3770,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_53",7.564564550556345e-11,1.1212987608383088e-10,10.121216066812442,9.95027865779172,7.564564550556345e-11,1.1212987608383088e-10,9.209851712606576e-11
3771,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_36",1.1809044189466195e-10,9.776735421819513e-39,9.927785252262787,38.009806137540835,9.776735421819513e-39,1.1809044189466195e-10,1.074494767902506e-24
3772,"MMA_Y__fft_coefficient__attr_""imag""__coeff_36",1.2617228459491842e-10,2.52528070136184e-39,9.899036033121979,38.59769034020794,2.52528070136184e-39,1.2617228459491842e-10,5.644647334725893e-25
3773,"MMA_X__fft_coefficient__attr_""imag""__coeff_3",3.586309688819745e-13,1.4096103409061742e-10,12.44535221049657,9.850900922934569,3.586309688819745e-13,1.4096103409061742e-10,7.110062744485675e-12
3774,ADXL_X__c3__lag_3,1.5979943285532048e-10,1.170468969254931e-22,9.79642476637523,21.931640095559832,1.170468969254931e-22,1.5979943285532048e-10,1.3676266941738507e-16
3775,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_35",1.7539687507040754e-10,1.116584532111407e-37,9.755978148437299,36.952108392664336,1.116584532111407e-37,1.7539687507040754e-10,4.4254427765399244e-24
3776,"MMA_Z__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",1.838322541492804e-10,1.1542253821755443e-87,9.735578287454178,86.93770937950096,1.1542253821755443e-87,1.838322541492804e-10,4.606341865316175e-49
3777,MMA_X__partial_autocorrelation__lag_3,2.0031414555590188e-10,1.2829128307462811e-232,9.698288381111041,231.8918028513507,1.2829128307462811e-232,2.0031414555590188e-10,1.6030770022480038e-121
3778,"MMA_X__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",3.460358947222792e-11,2.0443604688402423e-10,10.460878848978146,9.689442525452337,3.460358947222792e-11,2.0443604688402423e-10,8.410838864049123e-11
3779,"MMA_Y__fft_coefficient__attr_""imag""__coeff_35",2.2578047411357078e-10,4.241640282858534e-38,9.646313619326028,37.372466165096625,4.241640282858534e-38,2.2578047411357078e-10,3.0946398079308363e-24
